channel_ref,channel_name,source,notes,channel_id
https://www.youtube.com/channel/UCZfTWLrTkaoZoSx5fkrAPJA,hxsain,search:horror game playthrough,,UCZfTWLrTkaoZoSx5fkrAPJA
https://www.youtube.com/channel/UCVAYy7_zddIx6USjXscV9Vg,Caylus  ,search:horror game playthrough,,UCVAYy7_zddIx6USjXscV9Vg
https://www.youtube.com/channel/UCiYcA0gJzg855iSKMrX3oHg,CoryxKenshin,search:horror game playthrough,,UCiYcA0gJzg855iSKMrX3oHg
https://www.youtube.com/channel/UCZBY6V8Lxmwu8gGRBOyO11w,Kubz Scouts,search:horror game playthrough,,UCZBY6V8Lxmwu8gGRBOyO11w
https://www.youtube.com/channel/UCi72lNhlnW13bq986X7ajjQ,Vote 4 Holt,search:horror game playthrough,,UCi72lNhlnW13bq986X7ajjQ
https://www.youtube.com/channel/UCc14hA1AYljY9djeM9UB8zQ,Equi Dark Horror ,search:horror game playthrough,,UCc14hA1AYljY9djeM9UB8zQ
https://www.youtube.com/channel/UCeBPTBz1oRnsWsUBnKNNKNw,Joe Bart Games,search:horror game playthrough,,UCeBPTBz1oRnsWsUBnKNNKNw
https://www.youtube.com/channel/UC3RYNOKIpKE_2P-5ZapWIYg,KingWoolz Games,search:horror game playthrough,,UC3RYNOKIpKE_2P-5ZapWIYg
https://www.youtube.com/channel/UCpqXJOEqGS-TCnazcHCo0rA,theRadBrad,search:horror game playthrough,,UCpqXJOEqGS-TCnazcHCo0rA
https://www.youtube.com/channel/UCDBCCMlFD-hArPbWv38FINA,Daz Games,search:horror game playthrough,,UCDBCCMlFD-hArPbWv38FINA
https://www.youtube.com/channel/UCAPw1N3BiVWTW6T-I2ReBWg,courtreezy,search:horror game playthrough,,UCAPw1N3BiVWTW6T-I2ReBWg
https://www.youtube.com/channel/UCKv8Rrrdc9oxLJmdHItafLA,ManlyBadassHero,search:horror game playthrough,,UCKv8Rrrdc9oxLJmdHItafLA
https://www.youtube.com/channel/UCBRQg9kB1hCwajeB1iwHs9A,BigGaming64,search:horror game playthrough,,UCBRQg9kB1hCwajeB1iwHs9A
https://www.youtube.com/channel/UCijMyqnCWgtIUKamfPMvLng,HeyyVance,search:horror game playthrough,,UCijMyqnCWgtIUKamfPMvLng
https://www.youtube.com/channel/UCel2B-6wZhvQHRAKXmpm1Ew,special edd,search:horror game playthrough,,UCel2B-6wZhvQHRAKXmpm1Ew
https://www.youtube.com/channel/UCIH0E-zQ3-HzYDChlpafRsQ,Vanillamace,search:horror game playthrough,,UCIH0E-zQ3-HzYDChlpafRsQ
https://www.youtube.com/channel/UC7TIkH-0TzhP1EmSD9QN3xw,Fooster,search:horror game playthrough,,UC7TIkH-0TzhP1EmSD9QN3xw
https://www.youtube.com/channel/UC_vGBpNowkD7kwhbnqLw-9w,Blockdown,search:minecraft let's play,,UC_vGBpNowkD7kwhbnqLw-9w
https://www.youtube.com/channel/UCKOBnQjE87wX3vnH8qWvVXA,motherose,search:minecraft let's play,,UCKOBnQjE87wX3vnH8qWvVXA
https://www.youtube.com/channel/UCKtNUU-IsMgwU7QU2wOm8mA,disruptive builds,search:minecraft let's play,,UCKtNUU-IsMgwU7QU2wOm8mA
https://www.youtube.com/channel/UCudse9Ebf4A91pdT7lT_Z0Q,JWhisp,search:minecraft let's play,,UCudse9Ebf4A91pdT7lT_Z0Q
https://www.youtube.com/channel/UCdcHELOqCTAXI6ddxcLlb7g,Beanin,search:minecraft let's play,,UCdcHELOqCTAXI6ddxcLlb7g
https://www.youtube.com/channel/UCH_y9b1Giqv5KbKqQ_XkAKg,Tootsie,search:minecraft let's play,,UCH_y9b1Giqv5KbKqQ_XkAKg
https://www.youtube.com/channel/UCzTlXb7ivVzuFlugVCv3Kvg,LDShadowLady,search:minecraft let's play,,UCzTlXb7ivVzuFlugVCv3Kvg
https://www.youtube.com/channel/UCIVSqoHCUN1XdEpiVItxfoQ,aCookieGod,search:minecraft let's play,,UCIVSqoHCUN1XdEpiVItxfoQ
https://www.youtube.com/channel/UCS5Oz6CHmeoF7vSad0qqXfw,DanTDM,search:minecraft let's play,,UCS5Oz6CHmeoF7vSad0qqXfw
https://www.youtube.com/channel/UCJLklPT2rmAF33gVyHYH-QQ,ezY,search:minecraft let's play,,UCJLklPT2rmAF33gVyHYH-QQ
https://www.youtube.com/channel/UC5ig0ubThGbS1sVlexAQySw,Slushy Noobz,search:minecraft let's play,,UC5ig0ubThGbS1sVlexAQySw
https://www.youtube.com/channel/UCUBsjvdHcwZd3ztdY1Zadcw,GeminiTay,search:minecraft let's play,,UCUBsjvdHcwZd3ztdY1Zadcw
https://www.youtube.com/channel/UCzHu9GB5rCXYihQPqNocJKA,EMazing,search:minecraft let's play,,UCzHu9GB5rCXYihQPqNocJKA
